,ID,Title,Year,Rating,Genres,Director,Top_Cast_Member,Revenue,Production_Companies
196,1372,Blood Diamond,2006,7.5,"['Drama', 'Thriller', 'Action']",Edward Zwick,Leonardo DiCaprio,171720398,"['Virtual Studios', 'Spring Creek Pictures', 'Bedford Falls Productions', 'Initial Entertainment Group', 'Lonely Film Productions GmbH & Co. KG.', 'Warner Bros. Pictures', 'Liberty Pictures']"
197,7549,Fearless,2006,7.5,"['Drama', 'Action']",Ronny Yu,Jet Li,68072848,"['China Film Group Corporation', 'Beijing Film Studio', 'China Film Co-Production Corporation', 'Hero China International', 'Wide River Investments', 'Rogue Pictures', 'Focus Features']"
198,9075,Black Book,2006,7.5,"['Drama', 'Thriller', 'War']",Paul Verhoeven,Carice van Houten,26768563,"['Studio Babelsberg', 'Motel Films', 'Motion Investment Group', 'Egoli Tossell Film', 'Nederlands Fonds voor de Film', 'uFilm', 'Fu Works', 'Hector BV', 'Media Programme of the European Community', 'Euroimages Fund of the Council of Europe', 'VIP 4 Medienfonds', 'ContentFilm International', 'Clockwork Pictures', 'CoBo Fonds', 'FFA', 'Medienboard Berlin-Brandenburg', 'Sony Pictures Classics']"
199,11798,This Is England,2006,7.5,"['Drama', 'Crime']",Shane Meadows,Thomas Turgoose,8176544,"['EM Media', 'UK Film Council', 'Screen Yorkshire', 'Big Arty Productions', 'Film4 Productions']"
200,7345,There Will Be Blood,2007,8.1,['Drama'],Paul Thomas Anderson,Daniel Day-Lewis,77208711,"['Paramount Vantage', 'Miramax', 'Ghoulardi Film Company', 'JoAnne Sellar Productions']"
201,7347,Elite Squad,2007,8.1,"['Drama', 'Action', 'Crime']",José Padilha,Wagner Moura,14759148,"['Universal Pictures do Brasil', 'The Weinstein Company', 'Zazen Produções', 'Estúdios Mega', 'Quanta Centro de Produções Cinematográficas', 'Costa Films', 'Posto 9', 'Feijão Filmes']"
202,7508,Like Stars on Earth,2007,8.0,['Drama'],Aamir Khan,Darsheel Safary,28430000,"['Aamir Khan Productions', 'PVR Inox Pictures', 'UTV Motion Pictures']"
203,6977,No Country for Old Men,2007,7.9,"['Crime', 'Drama', 'Thriller']",Joel Coen,Josh Brolin,171627166,"['Miramax', 'Paramount', 'Scott Rudin Productions', 'Mike Zoss Productions']"
204,1646,Freedom Writers,2007,7.9,"['Crime', 'Drama']",Richard LaGravenese,Hilary Swank,43095175,"['Double Feature Films', 'Jersey Films', 'Kernos Filmproduktionsgesellschaft & Company']"
205,2011,Persepolis,2007,7.9,"['Animation', 'Drama']",Vincent Paronnaud,Chiara Mastroianni,0,"[""Société des Producteurs de L'Angoa"", 'Sony Pictures Classics', 'PROCIREP', 'Soficinéma', 'France 3 Cinéma', 'Diaphana Films', 'Sofica EuropaCorp', 'Celluloid Dreams', 'The Kennedy/Marshall Company', 'La Région Île-de-France', 'Fondation GAN pour le Cinéma', '2.4.7. Films', 'French Connection Animations', 'CNC']"
206,2062,Ratatouille,2007,7.8,"['Animation', 'Comedy', 'Family', 'Fantasy']",Brad Bird,Patton Oswalt,623726000,"['Pixar', 'Walt Disney Pictures']"
207,5915,Into the Wild,2007,7.8,"['Adventure', 'Drama']",Sean Penn,Emile Hirsch,56255142,"['River Road Entertainment', 'Paramount Vantage', 'Into the Wild', 'The Linson Company', 'Square One C.I.H.']"
208,675,Harry Potter and the Order of the Phoenix,2007,7.7,"['Adventure', 'Fantasy']",David Yates,Daniel Radcliffe,938212738,"['Warner Bros. Pictures', 'Heyday Films']"
209,4347,Atonement,2007,7.7,"['Drama', 'Romance']",Joe Wright,James McAvoy,131016624,"['Universal Pictures', 'Relativity Media', 'Working Title Films', 'StudioCanal', 'Focus Features']"
210,15137,Evangelion: 1.0 You Are (Not) Alone,2007,7.6,"['Animation', 'Science Fiction', 'Action', 'Drama']",Hideaki Anno,Megumi Ogata,20000000,['khara']
211,13363,The Man from Earth,2007,7.6,"['Science Fiction', 'Drama']",Richard Schenkman,David Lee Smith,0,['Falling Sky Entertainment']
212,4982,American Gangster,2007,7.6,"['Drama', 'Crime']",Ridley Scott,Russell Crowe,266465037,"['Film Rites', 'Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']"
213,2013,The Diving Bell and the Butterfly,2007,7.6,"['Drama', 'History']",Julian Schnabel,Mathieu Amalric,19777647,"['Pathé Renn Productions', 'France 3 Cinéma', 'The Kennedy/Marshall Company']"
214,4638,Hot Fuzz,2007,7.6,"['Crime', 'Action', 'Comedy']",Edgar Wright,Simon Pegg,80600000,"['Universal Pictures', 'Big Talk Productions', 'StudioCanal', 'Working Title Films', 'Focus Features', 'Rogue Pictures']"
215,2009,"4 Months, 3 Weeks and 2 Days",2007,7.5,['Drama'],Cristian Mungiu,Anamaria Marinca,1185783,"['Saga Film', 'Mobra Films', 'CNC']"
216,5708,Control,2007,7.5,['Drama'],Anton Corbijn,Samantha Morton,8159508,"['Becker International', 'Claraflora', 'EM Media', 'NorthSee', 'Warner Music UK', 'Three Dogs And A Pony']"
217,1949,Zodiac,2007,7.5,"['Crime', 'Drama', 'Mystery', 'Thriller']",David Fincher,Jake Gyllenhaal,84785914,"['Paramount', 'Warner Bros. Pictures', 'Phoenix Pictures']"
218,1407,La Vie en Rose,2007,7.4,"['Music', 'Drama']",Olivier Dahan,Marion Cotillard,86274793,"['TF1 International', 'Légende Films', 'Okko Production', 'Songbird Pictures', 'TF1 Films Production']"
219,2503,The Bourne Ultimatum,2007,7.4,"['Action', 'Drama', 'Mystery', 'Thriller']",Paul Greengrass,Matt Damon,442824138,"['Universal Pictures', 'The Kennedy/Marshall Company', 'Ludlum Entertainment', 'Motion Picture BETA Produktionsgesellschaft', 'Bourne Again', 'KanZaman Services', 'Peninsula Films', 'Studio Babelsberg']"
220,155,The Dark Knight,2008,8.5,"['Drama', 'Action', 'Crime', 'Thriller']",Christopher Nolan,Christian Bale,1004558444,"['DC Comics', 'Legendary Pictures', 'Syncopy', 'Isobel Griffiths', 'Warner Bros. Pictures']"
221,10681,WALL·E,2008,8.1,"['Animation', 'Family', 'Science Fiction']",Andrew Stanton,Ben Burtt,521311860,"['Pixar', 'Walt Disney Pictures']"
222,13223,Gran Torino,2008,8.0,['Drama'],Clint Eastwood,Clint Eastwood,269958228,"['Matten Productions', 'Double Nickel Entertainment', 'Gerber Pictures', 'Malpaso Productions', 'Village Roadshow Pictures', 'WV Films IV', 'Warner Bros. Pictures']"
223,14574,The Boy in the Striped Pyjamas,2008,7.9,"['Drama', 'War', 'History']",Mark Herman,Asa Butterfield,20416563,"['BBC Film', 'Miramax', 'Heyday Films']"
224,16804,Departures,2008,7.9,['Drama'],Yojiro Takita,Masahiro Motoki,69932387,"['TBS', 'Amuse Soft Entertainment', 'MBS', 'Sedic', 'Shogakukan', 'TBS Radio', 'Shochiku', 'dentsu', 'The Asahi Shimbun']"
225,13042,Presto,2008,7.8,"['Animation', 'Family', 'Comedy']",Doug Sweetland,Doug Sweetland,0,"['Pixar', 'Walt Disney Pictures']"
226,13855,The Chaser,2008,7.8,"['Crime', 'Thriller', 'Action']",Na Hong-jin,Kim Yoon-seok,0,"['Bidangil Pictures', 'Hanhwa Venture Capital', 'Michigan Venture Capital', 'Vantage Holdings', 'Finecut', 'Showbox']"
227,14756,Ip Man,2008,7.8,"['Drama', 'Action', 'History']",Wilson Yip,Donnie Yen,22108789,"['Mandarin Films', 'Golden Harvest Company', 'Beijing ShengShi HuaRei Film Investment & Management Co.', 'China Film Co-Production Corporation', 'New Film Studio of Beijing Starlight International Media Co. Ltd.', 'Prosperity Pictures', 'Shanghai Film Group', 'Time Antaeus Media Group']"
228,12429,Ponyo,2008,7.7,"['Animation', 'Fantasy', 'Family']",Hayao Miyazaki,Yuria Kozuki,202404009,"['Studio Ghibli', 'TOHO', 'Nippon Television Network Corporation', 'dentsu', 'Hakuhodo DY Media Partners', 'The Walt Disney Company (Japan)', 'Mitsubishi']"
229,12405,Slumdog Millionaire,2008,7.7,"['Drama', 'Romance']",Danny Boyle,Dev Patel,378410542,"['Celador Films', 'Film4 Productions']"
230,8885,Waltz with Bashir,2008,7.7,"['Drama', 'Animation', 'War', 'Documentary']",Ari Folman,Ari Folman,11179372,"['Bridgit Folman Film Gang', ""Les Films d'Ici"", 'Razor Film Produktion', 'ITVS International', 'TSR', 'ARTE', 'YLE', 'RTBF', 'SBS']"
231,8832,Il Divo,2008,7.6,['Drama'],Paolo Sorrentino,Toni Servillo,11260366,"['Indigo Film', 'Lucky Red', 'Parco Film', 'Babe Film', 'StudioCanal', 'ARTE France Cinéma', 'Sky Cinema', 'MiC', ""Fonds Eurimages du Conseil de l'Europe"", 'Film Commission Torino Piemonte', 'Regione Campania', 'Campania Film Commission', 'CNC']"
232,1726,Iron Man,2008,7.6,"['Action', 'Science Fiction', 'Adventure']",Jon Favreau,Robert Downey Jr.,585174222,['Marvel Studios']
233,14438,Fireproof,2008,7.6,['Drama'],Alex Kendrick,Kirk Cameron,33500000,"['Samuel Goldwyn Films', 'Affirm Films', 'Carmel Entertainment', 'FortyFour Studios', 'Provident Films', 'Sherwood Pictures']"
234,11321,Seven Pounds,2008,7.6,['Drama'],Gabriele Muccino,Will Smith,168167691,"['Escape Artists', 'Columbia Pictures', 'Relativity Media', 'Overbrook Entertainment']"
235,3580,Changeling,2008,7.6,"['Crime', 'Drama', 'Mystery']",Clint Eastwood,Angelina Jolie,113398237,"['Imagine Entertainment', 'Malpaso Productions', 'Relativity Media', 'Universal Pictures']"
236,4960,"Synecdoche, New York",2008,7.6,['Drama'],Charlie Kaufman,Philip Seymour Hoffman,4383538,"['Likely Story', 'Projective Testing Service', 'Sidney Kimmel Entertainment', 'Russia, Inc.']"
237,4922,The Curious Case of Benjamin Button,2008,7.6,"['Drama', 'Fantasy', 'Romance']",David Fincher,Brad Pitt,335802786,"['Paramount', 'Warner Bros. Pictures', 'The Kennedy/Marshall Company']"
238,13413,BURN·E,2008,7.5,"['Animation', 'Family', 'Comedy', 'Science Fiction']",Angus MacLane,Angus MacLane,0,['Pixar']
239,12163,The Wrestler,2008,7.5,"['Drama', 'Romance']",Darren Aronofsky,Mickey Rourke,44734660,"['Wild Bunch', 'Top Rope', 'Saturn Films', 'Protozoa Pictures']"
240,16869,Inglourious Basterds,2009,8.2,"['Drama', 'Thriller', 'War']",Quentin Tarantino,Brad Pitt,321457747,"['The Weinstein Company', 'Universal Pictures', 'A Band Apart', 'Zehnte Babelsberg Film', 'Visiona Romantica', 'Peninsula Films']"
241,21634,Prayers for Bobby,2009,8.1,"['Drama', 'History', 'TV Movie']",Russell Mulcahy,Ryan Kelley,0,"['Once Upon a Time Films', 'Sladek Taaffe Productions', 'Permut Presentations']"
242,28178,Hachi: A Dog's Tale,2009,8.0,"['Drama', 'Family']",Lasse Hallström,Richard Gere,46749646,"['Scion Films', 'Stage 6 Films', 'Inferno Distribution', 'Hachiko', 'Grand Army Entertainment', 'Opperman Viner Chrystyn Entertainment']"
243,18438,Castaway on the Moon,2009,8.0,"['Drama', 'Comedy', 'Romance']",Lee Hae-jun,Jung Jae-young,0,"['Cinema Service', 'Banzakbanzak Film Production', 'CJ Entertainment']"
